Assunto,Ocorrência
Computação - Material Didático Desplugado,1
Computação vestível,1
Computadores - medidas de segurança,1
Computation,1
Computational Thinking,1
Confiabilidade,1
Conscientização,1
Contêiners (Computação),1
Convexidade P3,1
Covid-19,1
Covid-19 - Pandemia,1
Criança - Déficit de atenção e hiperatividade - TDAH,1
Criatividade,1
Criptografia de dados (Computação),1
Criptomoeda,1
Cultura digital,1
Curso Superior,1
Cursos a Distância,1
Curvas elípticas,1
Dados - Privacidade,1
Dados - recuperação,1
Dados Geográficos,1
Data Clustering,1
Data Science,1
Data warehousing,1
Decomposition Tree,1
Deficiência Visual,1
Deficientes visuais,1
Desafios E Contribuições,1
Design Responsivo,1
Detectores,1
Diabetes,1
Didactic Resources,1
Didatic Resource,1
Digital Terrain Modeling,1
Disciplina curricular,1
Divulgação Científica,1
Drone,1
E-Democracia,1
Educação - Tecnologia Digital,1
Educação a distância - Brasil,1
Educação a distância (EAD),1
Educação corporativa,1
Educação de Jovens e Adultos (EJA) - uso de tecnologias,1
Educação digital,1
Educação infantil,1
Educacao Lúdica,1
Educação Superior,1
Educacional,1
Educadores,1
Educational Electronics,1
Educational Games,1
Educational Informatics,1
Electronic,1
Eletrônica Educativa,1
Eletrônico,1
E-Lixo,1
Emissão,1
Energia renovável,1
Engenharia De Produção,1
Engenharia de requisitos,1
Engenharia Social,1
Ensino - Via Internet,1
Ensino à distância,1
Ensino básico,1
Ensino da língua inglesa,1
Ensino da língua portuguesa,1
Ensino de Física,1
Ensino de Informatica,1
Ensino de língua inglesa,1
Ensino De Música,1
Ensino fundamental - desempenho dos alunos,1
Ensino fundamental - jogos educativos,1
Ensino-Aprendizagem,1
Ensino-aprendizagem - estratégias,1
Environmental Education,1
Escola Regular,1
Estoque,1
Estudantes universitários,1
Estudantes universitários - Computação,1
Evolução Das Tvs,1
Evolução Tecnológica,1
Evolution Of Tvs,1
Exclusão digital,1
Ferramenta Computacional,1
Ferramenta de ensino,1
Ferramenta Web,1
Ferramentas Educacionais,1
Ferramentas Livres,1
Física - estudo e ensino,1
Footprint,1
Formação,1
Formação continuada,1
Formação continuada - professor,1
Formação docente,1
Framework,1
Funções Não Computáveis,1
